dependencia_id;pedido_id;depende_de_pedido_id;intervalo_min_dias;critica;origem;regra_id
D00001;P00004;P00003;7;1;MEDICO;
D00002;P00004;P00002;2;1;MEDICO;
D00003;P00012;P00011;1;1;REGRA;R1
D00004;P00013;P00012;7;1;MEDICO;
D00005;P00013;P00011;2;1;MEDICO;
D00006;P00017;P00016;2;1;MEDICO;
D00007;P00019;P00018;2;1;MEDICO;
D00008;P00021;P00020;2;1;MEDICO;
D00009;P00023;P00022;2;1;MEDICO;
D00010;P00026;P00025;3;1;MEDICO;
D00011;P00028;P00027;2;1;MEDICO;
D00012;P00030;P00029;2;1;MEDICO;
D00013;P00031;P00032;1;1;REGRA;R2
D00014;P00034;P00035;1;1;REGRA;R2
D00015;P00037;P00036;1;1;REGRA;R1
D00016;P00038;P00037;7;1;MEDICO;
D00017;P00038;P00036;2;1;MEDICO;
D00018;P00040;P00039;2;1;MEDICO;
D00019;P00043;P00042;2;1;MEDICO;
D00020;P00045;P00044;2;1;MEDICO;
D00021;P00047;P00046;1;1;REGRA;R1
D00022;P00048;P00047;7;1;MEDICO;
D00023;P00048;P00046;2;1;MEDICO;
D00024;P00050;P00049;1;1;REGRA;R1
D00025;P00051;P00050;7;1;MEDICO;
D00026;P00051;P00049;2;1;MEDICO;
D00027;P00053;P00052;1;1;REGRA;R1
D00028;P00054;P00053;7;1;MEDICO;
D00029;P00054;P00052;2;1;MEDICO;
D00030;P00056;P00055;1;1;REGRA;R1
D00031;P00057;P00056;7;1;MEDICO;
D00032;P00057;P00055;2;1;MEDICO;
D00033;P00062;P00061;2;1;MEDICO;
D00034;P00064;P00063;3;1;MEDICO;
D00035;P00066;P00065;3;1;MEDICO;
D00036;P00070;P00069;1;1;REGRA;R1
D00037;P00071;P00070;7;1;MEDICO;
D00038;P00071;P00069;2;1;MEDICO;
D00039;P00073;P00072;1;1;REGRA;R1
D00040;P00074;P00073;7;1;MEDICO;
D00041;P00074;P00072;2;1;MEDICO;
D00042;P00076;P00075;2;1;MEDICO;
D00043;P00078;P00077;2;1;MEDICO;
D00044;P00080;P00079;1;1;REGRA;R1
D00045;P00081;P00080;7;1;MEDICO;
D00046;P00081;P00079;2;1;MEDICO;
D00047;P00083;P00082;1;1;REGRA;R1
D00048;P00084;P00083;7;1;MEDICO;
D00049;P00084;P00082;2;1;MEDICO;
D00050;P00086;P00085;1;1;REGRA;R1
D00051;P00087;P00086;7;1;MEDICO;
D00052;P00087;P00085;2;1;MEDICO;
D00053;P00089;P00088;2;1;MEDICO;
D00054;P00092;P00091;1;1;REGRA;R1
D00055;P00093;P00092;7;1;MEDICO;
D00056;P00093;P00091;2;1;MEDICO;
D00057;P00095;P00094;1;1;REGRA;R1
